edad,Exposicion,Muertes,TasaBruta,TasaWH,MuertesWH,TasaWH2,MuertesWH2
20,68730.93839835729,59,8.584198233704042e-4,9.463524310679979e-4,65.04369064287023,9.104738868681976e-4,62.57772463165101
21,64353.01505817933,74,0.0011499072721472205,0.001005043102672361,64.67755392039372,0.0010228133852227838,65.82112518094918
22,59444.03627652293,60,0.001009352724988102,0.0010620650619930965,63.1334340731452,0.0010807023742855169,64.24131114115272
23,55509.53798767967,66,0.0011889848554431975,0.0011197651024677157,62.15764349270969,0.0011323023005909505,62.85357756819045
24,52046.8945927447,58,0.0011143796465444677,0.0011780512166278628,61.313907496685026,0.0011663286150471923,60.70378248786313
25,49007.13278576318,59,0.001203906383544638,0.0012407708147709848,60.80662007618122,0.001220042926070998,59.79080568229245
26,46776.29089664613,63,0.0013468361597801914,0.001309032777102463,61.231697974989345,0.0012915692609339045,60.414819462610566
27,44974.59069130733,59,0.0013118518499692206,0.0013820862496353409,62.15876337743345,0.0013653654220923345,61.40675100266681
28,43442.666666666664,61,0.0014041495304155669,0.0014610770415380784,63.473082889858226,0.0014650842755858965,63.6471678228529
29,41858.090349075974,73,0.0017439878262772083,0.0015433355966935369,64.60108084534315,0.0015784219891173431,66.06973022944196
30,40130.33607118412,65,0.0016197222939947846,0.001622208953406524,65.09979047788768,0.0016423057051623232,65.90627987978706
31,38345.20260095825,65,0.0016951273064436919,0.0017014980096502457,65.24428590516588,0.0016910110259833822,64.84216039178706
32,37034.97467488022,59,0.0015930887091983902,0.0017857375886001536,66.13474636978836,0.001750798381645621,64.84077372506685
33,36279.80150581793,75,0.00206726599614865,0.0018800143683864714,68.20654811314685,0.0018546932780866715,67.28790398315921
34,35940.553045859,68,0.0018920131783513228,0.001978798454344523,71.11911081543312,0.001940012399202409,69.72511854315837
35,36057.39082819986,66,0.0018304153041595718,0.0020869513831852874,75.25002166296419,0.002052490477377138,74.00745131394596
36,36392.184120465434,92,0.002528015347896173,0.002204699801824744,80.23384111835973,0.0022193527388275265,80.76709349967058
37,37045.1054072553,88,0.0023754825106467414,0.0023144873835118642,85.74042908595953,0.002328099037331611,86.24467423647913
