edad,qx_infantil,qx_HP_obs,qx_final,tramo
0,0.009270587517203194,NA,0.009270587517203194,Opperman (0-9)
1,0.005610792380446813,NA,0.005610792380446813,Opperman (0-9)
2,0.004618322459659135,NA,0.004618322459659135,Opperman (0-9)
3,0.004394096641303431,NA,0.004394096641303431,Opperman (0-9)
4,0.00449018075184191,NA,0.00449018075184191,Opperman (0-9)
5,0.004744450344964506,NA,0.004744450344964506,Opperman (0-9)
6,0.005084339627511149,NA,0.005084339627511149,Opperman (0-9)
7,0.005472890354692618,NA,0.005472890354692618,Opperman (0-9)
8,0.005889578323203148,NA,0.005889578323203148,Opperman (0-9)
9,0.0063222873734560155,NA,0.0063222873734560155,Opperman (0-9)
10,NA,0.001296262636163929,0.001296262636163929,HP extrapolado (10-19)
11,NA,0.0012402191633948238,0.0012402191633948238,HP extrapolado (10-19)
12,NA,0.0011919261520771684,0.0011919261520771684,HP extrapolado (10-19)
13,NA,0.0011500960533420339,0.0011500960533420339,HP extrapolado (10-19)
14,NA,0.0011138640249018284,0.0011138640249018284,HP extrapolado (10-19)
15,NA,0.0010827458041986744,0.0010827458041986744,HP extrapolado (10-19)
16,NA,0.001056641999185644,0.001056641999185644,HP extrapolado (10-19)
17,NA,0.0010358560385771703,0.0010358560385771703,HP extrapolado (10-19)
18,NA,0.001021093222375666,0.001021093222375666,HP extrapolado (10-19)
19,NA,0.0010134148021867352,0.0010134148021867352,HP extrapolado (10-19)
20,NA,8.584198233704042e-4,8.584198233704042e-4,Observado (20-84)
21,NA,0.0011499072721472205,0.0011499072721472205,Observado (20-84)
22,NA,0.001009352724988102,0.001009352724988102,Observado (20-84)
23,NA,0.0011889848554431975,0.0011889848554431975,Observado (20-84)
24,NA,0.0011143796465444677,0.0011143796465444677,Observado (20-84)
25,NA,0.001203906383544638,0.001203906383544638,Observado (20-84)
26,NA,0.0013468361597801914,0.0013468361597801914,Observado (20-84)
27,NA,0.0013118518499692206,0.0013118518499692206,Observado (20-84)
28,NA,0.0014041495304155669,0.0014041495304155669,Observado (20-84)
29,NA,0.0017439878262772083,0.0017439878262772083,Observado (20-84)
30,NA,0.0016197222939947846,0.0016197222939947846,Observado (20-84)
31,NA,0.0016951273064436919,0.0016951273064436919,Observado (20-84)
32,NA,0.0015930887091983902,0.0015930887091983902,Observado (20-84)
33,NA,0.00206726599614865,0.00206726599614865,Observado (20-84)
34,NA,0.0018920131783513228,0.0018920131783513228,Observado (20-84)
35,NA,0.0018304153041595718,0.0018304153041595718,Observado (20-84)
36,NA,0.002528015347896173,0.002528015347896173,Observado (20-84)
37,NA,0.0023754825106467414,0.0023754825106467414,Observado (20-84)
38,NA,0.0021059662846473616,0.0021059662846473616,Observado (20-84)
39,NA,0.002818478217482906,0.002818478217482906,Observado (20-84)
40,NA,0.002777896377396114,0.002777896377396114,Observado (20-84)
41,NA,0.0024938496665056226,0.0024938496665056226,Observado (20-84)
42,NA,0.002642883656531281,0.002642883656531281,Observado (20-84)
43,NA,0.0030605803580988416,0.0030605803580988416,Observado (20-84)
44,NA,0.003056657510491505,0.003056657510491505,Observado (20-84)
45,NA,0.0030609970989532165,0.0030609970989532165,Observado (20-84)
46,NA,0.0033944609462374514,0.0033944609462374514,Observado (20-84)
47,NA,0.003633519382196838,0.003633519382196838,Observado (20-84)
48,NA,0.0037776934791837204,0.0037776934791837204,Observado (20-84)
49,NA,0.003586189755863556,0.003586189755863556,Observado (20-84)
50,NA,0.004133260113746038,0.004133260113746038,Observado (20-84)
51,NA,0.003774029324118687,0.003774029324118687,Observado (20-84)
52,NA,0.004262273429972447,0.004262273429972447,Observado (20-84)
53,NA,0.004218070254351577,0.004218070254351577,Observado (20-84)
54,NA,0.004898867847013955,0.004898867847013955,Observado (20-84)
55,NA,0.004926238276640479,0.004926238276640479,Observado (20-84)
56,NA,0.005234498726399672,0.005234498726399672,Observado (20-84)
57,NA,0.005308005834543964,0.005308005834543964,Observado (20-84)
58,NA,0.006003253784593266,0.006003253784593266,Observado (20-84)
59,NA,0.006230592717114126,0.006230592717114126,Observado (20-84)
60,NA,0.007378471364091065,0.007378471364091065,Observado (20-84)
61,NA,0.007980186201631965,0.007980186201631965,Observado (20-84)
62,NA,0.008425359470152929,0.008425359470152929,Observado (20-84)
63,NA,0.009141861642440694,0.009141861642440694,Observado (20-84)
64,NA,0.01111761552155876,0.01111761552155876,Observado (20-84)
65,NA,0.01609599469618609,0.01609599469618609,Observado (20-84)
66,NA,0.018107970911413005,0.018107970911413005,Observado (20-84)
67,NA,0.019753065779066895,0.019753065779066895,Observado (20-84)
68,NA,0.022090754862385726,0.022090754862385726,Observado (20-84)
69,NA,0.023571069665301595,0.023571069665301595,Observado (20-84)
70,NA,0.02681153494318436,0.02681153494318436,Observado (20-84)
71,NA,0.028335807336038677,0.028335807336038677,Observado (20-84)
72,NA,0.02957335532489629,0.02957335532489629,Observado (20-84)
73,NA,0.0313388352248262,0.0313388352248262,Observado (20-84)
74,NA,0.03470616169978351,0.03470616169978351,Observado (20-84)
75,NA,0.03373379952517838,0.03373379952517838,Observado (20-84)
76,NA,0.039181694915522015,0.039181694915522015,Observado (20-84)
77,NA,0.04351940018335601,0.04351940018335601,Observado (20-84)
78,NA,0.04706163719848885,0.04706163719848885,Observado (20-84)
79,NA,0.05160309289913608,0.05160309289913608,Observado (20-84)
80,NA,0.056569514342107816,0.056569514342107816,Observado (20-84)
81,NA,0.05937670184763167,0.05937670184763167,Observado (20-84)
82,NA,0.07057481741807849,0.07057481741807849,Observado (20-84)
83,NA,0.07697540998145451,0.07697540998145451,Observado (20-84)
84,NA,0.08948953590537657,0.08948953590537657,Observado (20-84)
85,NA,0.10042014019359027,0.10042014019359027,HP extrapolado (85-109)
86,NA,0.11063651506008927,0.11063651506008927,HP extrapolado (85-109)
87,NA,0.12175684794830322,0.12175684794830322,HP extrapolado (85-109)
88,NA,0.1338317079811602,0.1338317079811602,HP extrapolado (85-109)
89,NA,0.14690847926430764,0.14690847926430764,HP extrapolado (85-109)
90,NA,0.1610299262299151,0.1610299262299151,HP extrapolado (85-109)
91,NA,0.17623260498929824,0.17623260498929824,HP extrapolado (85-109)
92,NA,0.19254515112822565,0.19254515112822565,HP extrapolado (85-109)
93,NA,0.20998648944866782,0.20998648944866782,HP extrapolado (85-109)
94,NA,0.2285640272549905,0.2285640272549905,HP extrapolado (85-109)
95,NA,0.24827190868998403,0.24827190868998403,HP extrapolado (85-109)
96,NA,0.2690894217317685,0.2690894217317685,HP extrapolado (85-109)
97,NA,0.2909796598316897,0.2909796598316897,HP extrapolado (85-109)
98,NA,0.3138885447247844,0.3138885447247844,HP extrapolado (85-109)
99,NA,0.3377443137164313,0.3377443137164313,HP extrapolado (85-109)
100,NA,0.36245756223655323,0.36245756223655323,HP extrapolado (85-109)
101,NA,0.38792190997243264,0.38792190997243264,HP extrapolado (85-109)
102,NA,0.41401532690166615,0.41401532690166615,HP extrapolado (85-109)
103,NA,0.44060211584507847,0.44060211584507847,HP extrapolado (85-109)
104,NA,0.46753550387391013,0.46753550387391013,HP extrapolado (85-109)
105,NA,0.49466075023863626,0.49466075023863626,HP extrapolado (85-109)
106,NA,0.5218186382114078,0.5218186382114078,HP extrapolado (85-109)
107,NA,0.5488491870108586,0.5488491870108586,HP extrapolado (85-109)
108,NA,0.5755954016147395,0.5755954016147395,HP extrapolado (85-109)
109,NA,0.6019068750726978,0.6019068750726978,HP extrapolado (85-109)
