edad,qx_HP,qx_obs,qx_HP_obs
10,0.001296262636163929,NA,0.001296262636163929
11,0.0012402191633948238,NA,0.0012402191633948238
12,0.0011919261520771684,NA,0.0011919261520771684
13,0.0011500960533420339,NA,0.0011500960533420339
14,0.0011138640249018284,NA,0.0011138640249018284
15,0.0010827458041986744,NA,0.0010827458041986744
16,0.001056641999185644,NA,0.001056641999185644
17,0.0010358560385771703,NA,0.0010358560385771703
18,0.001021093222375666,NA,0.001021093222375666
19,0.0010134148021867352,NA,0.0010134148021867352
20,0.001014134573969665,8.584198233704042e-4,8.584198233704042e-4
21,0.0010246625582892627,0.0011499072721472205,0.0011499072721472205
22,0.001046315738802464,0.001009352724988102,0.001009352724988102
23,0.0010801252068582182,0.0011889848554431975,0.0011889848554431975
24,0.0011266705437011084,0.0011143796465444677,0.0011143796465444677
25,0.001185966590220458,0.001203906383544638,0.001203906383544638
26,0.0012574174181665288,0.0013468361597801914,0.0013468361597801914
27,0.0013398404544053173,0.0013118518499692206,0.0013118518499692206
28,0.0014315530717864157,0.0014041495304155669,0.0014041495304155669
29,0.0015305063460511672,0.0017439878262772083,0.0017439878262772083
30,0.0016344467982809675,0.0016197222939947846,0.0016197222939947846
31,0.0017410865928494904,0.0016951273064436919,0.0016951273064436919
32,0.0018482650497037378,0.0015930887091983902,0.0015930887091983902
33,0.0019540884178696183,0.00206726599614865,0.00206726599614865
34,0.002057039629780033,0.0018920131783513228,0.0018920131783513228
35,0.0021560543932410852,0.0018304153041595718,0.0018304153041595718
36,0.0022505639260465985,0.002528015347896173,0.002528015347896173
37,0.0023405076087504666,0.0023754825106467414,0.0023754825106467414
38,0.002426320753974886,0.0021059662846473616,0.0021059662846473616
39,0.0025089036500991727,0.002818478217482906,0.002818478217482906
40,0.002589578207169354,0.002777896377396114,0.002777896377396114
41,0.0026700381233337035,0.0024938496665056226,0.0024938496665056226
42,0.0027522977082847138,0.002642883656531281,0.002642883656531281
43,0.0028386435267591143,0.0030605803580988416,0.0030605803580988416
44,0.002931592002750327,0.003056657510491505,0.003056657510491505
45,0.003033855155820055,0.0030609970989532165,0.0030609970989532165
46,0.003148315789563363,0.0033944609462374514,0.0033944609462374514
47,0.0032780127526789815,0.003633519382196838,0.003633519382196838
48,0.003426136355344952,0.0037776934791837204,0.0037776934791837204
49,0.003596033641265391,0.003586189755863556,0.003586189755863556
50,0.0037912229720234343,0.004133260113746038,0.004133260113746038
51,0.004015417252984404,0.003774029324118687,0.003774029324118687
52,0.004272555094872235,0.004262273429972447,0.004262273429972447
53,0.004566839238898677,0.004218070254351577,0.004218070254351577
54,0.004902781654758645,0.004898867847013955,0.004898867847013955
55,0.005285254831675211,0.004926238276640479,0.004926238276640479
56,0.005719548907920699,0.005234498726399672,0.005234498726399672
57,0.0062114344118219525,0.005308005834543964,0.005308005834543964
58,0.006767230507792271,0.006003253784593266,0.006003253784593266
59,0.00739387874718012,0.006230592717114126,0.006230592717114126
60,0.008099022410040013,0.007378471364091065,0.007378471364091065
61,0.00889109158571262,0.007980186201631965,0.007980186201631965
62,0.009779394173272987,0.008425359470152929,0.008425359470152929
63,0.010774212983445941,0.009141861642440694,0.009141861642440694
64,0.011886909087114239,0.01111761552155876,0.01111761552155876
65,0.013130031476958525,0.01609599469618609,0.01609599469618609
66,0.014517432981956664,0.018107970911413005,0.018107970911413005
67,0.016064392192079124,0.019753065779066895,0.019753065779066895
68,0.01778774090379379,0.022090754862385726,0.022090754862385726
69,0.01970599627572361,0.023571069665301595,0.023571069665301595
70,0.02183949647636727,0.02681153494318436,0.02681153494318436
71,0.024210538099394645,0.028335807336038677,0.028335807336038677
72,0.026843513003119115,0.02957335532489629,0.02957335532489629
73,0.02976504148576527,0.0313388352248262,0.0313388352248262
74,0.03300409782463177,0.03470616169978351,0.03470616169978351
75,0.03659212317544363,0.03373379952517838,0.03373379952517838
76,0.040563119643279855,0.039181694915522015,0.039181694915522015
77,0.04495371800153949,0.04351940018335601,0.04351940018335601
78,0.04980321006527433,0.04706163719848885,0.04706163719848885
79,0.05515353515112334,0.05160309289913608,0.05160309289913608
80,0.06104920843134951,0.056569514342107816,0.056569514342107816
81,0.0675371773958338,0.05937670184763167,0.05937670184763167
82,0.07466659119012886,0.07057481741807849,0.07057481741807849
83,0.08248846645799736,0.07697540998145451,0.07697540998145451
84,0.09105523268757887,0.08948953590537657,0.08948953590537657
85,0.10042014019359027,NA,0.10042014019359027
86,0.11063651506008927,NA,0.11063651506008927
87,0.12175684794830322,NA,0.12175684794830322
88,0.1338317079811602,NA,0.1338317079811602
89,0.14690847926430764,NA,0.14690847926430764
90,0.1610299262299151,NA,0.1610299262299151
91,0.17623260498929824,NA,0.17623260498929824
92,0.19254515112822565,NA,0.19254515112822565
93,0.20998648944866782,NA,0.20998648944866782
94,0.2285640272549905,NA,0.2285640272549905
95,0.24827190868998403,NA,0.24827190868998403
96,0.2690894217317685,NA,0.2690894217317685
97,0.2909796598316897,NA,0.2909796598316897
98,0.3138885447247844,NA,0.3138885447247844
99,0.3377443137164313,NA,0.3377443137164313
100,0.36245756223655323,NA,0.36245756223655323
101,0.38792190997243264,NA,0.38792190997243264
102,0.41401532690166615,NA,0.41401532690166615
103,0.44060211584507847,NA,0.44060211584507847
104,0.46753550387391013,NA,0.46753550387391013
105,0.49466075023863626,NA,0.49466075023863626
106,0.5218186382114078,NA,0.5218186382114078
107,0.5488491870108586,NA,0.5488491870108586
108,0.5755954016147395,NA,0.5755954016147395
109,0.6019068750726978,NA,0.6019068750726978
