edad,qx
0,0.009270587517203194
1,0.005610792380446813
2,0.004618322459659135
3,0.004394096641303431
4,0.00449018075184191
5,0.004744450344964506
6,0.005084339627511149
7,0.005472890354692618
8,0.005889578323203148
9,0.0063222873734560155
10,0.001296262636163929
11,0.0012402191633948238
12,0.0011919261520771684
13,0.0011500960533420339
14,0.0011138640249018284
15,0.0010827458041986744
16,0.001056641999185644
17,0.0010358560385771703
18,0.001021093222375666
19,0.0010134148021867352
20,8.584198233704042e-4
21,0.0011499072721472205
22,0.001009352724988102
23,0.0011889848554431975
24,0.0011143796465444677
25,0.001203906383544638
26,0.0013468361597801914
27,0.0013118518499692206
28,0.0014041495304155669
29,0.0017439878262772083
30,0.0016197222939947846
31,0.0016951273064436919
32,0.0015930887091983902
33,0.00206726599614865
34,0.0018920131783513228
35,0.0018304153041595718
36,0.002528015347896173
37,0.0023754825106467414
38,0.0021059662846473616
39,0.002818478217482906
40,0.002777896377396114
41,0.0024938496665056226
42,0.002642883656531281
43,0.0030605803580988416
44,0.003056657510491505
45,0.0030609970989532165
46,0.0033944609462374514
47,0.003633519382196838
48,0.0037776934791837204
49,0.003586189755863556
50,0.004133260113746038
51,0.003774029324118687
52,0.004262273429972447
53,0.004218070254351577
54,0.004898867847013955
55,0.004926238276640479
56,0.005234498726399672
57,0.005308005834543964
58,0.006003253784593266
59,0.006230592717114126
60,0.007378471364091065
61,0.007980186201631965
62,0.008425359470152929
63,0.009141861642440694
64,0.01111761552155876
65,0.01609599469618609
66,0.018107970911413005
67,0.019753065779066895
68,0.022090754862385726
69,0.023571069665301595
70,0.02681153494318436
71,0.028335807336038677
72,0.02957335532489629
73,0.0313388352248262
74,0.03470616169978351
75,0.03373379952517838
76,0.039181694915522015
77,0.04351940018335601
78,0.04706163719848885
79,0.05160309289913608
80,0.056569514342107816
81,0.05937670184763167
82,0.07057481741807849
83,0.07697540998145451
84,0.08948953590537657
85,0.10042014019359027
86,0.11063651506008927
87,0.12175684794830322
88,0.1338317079811602
89,0.14690847926430764
90,0.1610299262299151
91,0.17623260498929824
92,0.19254515112822565
93,0.20998648944866782
94,0.2285640272549905
95,0.24827190868998403
96,0.2690894217317685
97,0.2909796598316897
98,0.3138885447247844
99,0.3377443137164313
100,0.36245756223655323
101,0.38792190997243264
102,0.41401532690166615
103,0.44060211584507847
104,0.46753550387391013
105,0.49466075023863626
106,0.5218186382114078
107,0.5488491870108586
108,0.5755954016147395
109,0.6019068750726978
