edad,qx_OP
0,0.009270587517203194
1,0.005610792380446813
2,0.004618322459659135
3,0.004394096641303431
4,0.00449018075184191
5,0.004744450344964506
6,0.005084339627511149
7,0.005472890354692618
8,0.005889578323203148
9,0.0063222873734560155
