Edad,qx,origen,px,lx,dx,Lx,Tx,ex,qx_ref,ex_ref,dif_qx_pct,dif_ex_pct
10,2.1785470230962616e-4,HP_Cabeza,0.9997821452976904,9984669.548135648,2175.207212069081,9983581.944529613,678338982.4033357,67.93805034138522,0.00613027,45.565032540940635,-96.4462462124894,49.101287879784145
11,2.362400043879382e-4,HP_Cabeza,0.9997637599956121,9982494.34092358,2358.2645069023547,9981315.208670128,668355400.458806,66.95274523911925,0.00634584,44.84299735735049,-96.2772461267864,49.30479491720376
12,2.5617688799709263e-4,HP_Cabeza,0.9997438231120029,9980136.076416677,2556.6802018439384,9978857.736315755,658374085.2501359,65.96844774550631,0.00658733,44.126188006248064,-96.11106642604678,49.49953922184596
13,2.7779629497511835e-4,HP_Cabeza,0.9997222037050248,9977579.396214833,2771.734589088559,9976193.52892029,648395227.5138202,64.98522354628419,0.00686127,43.415473723772884,-95.9512408785091,49.682170830950575
14,3.012402176685775e-4,HP_Cabeza,0.9996987597823315,9974807.661625745,3004.8132311903337,9973305.25501015,638419033.9848999,64.00314228022388,0.00715908,42.711962666860124,-95.79219372225792,49.84828203617863
15,3.266626315125615e-4,HP_Cabeza,0.9996733373684874,9971802.848394554,3257.4153593810215,9970174.140714863,628445728.7298898,63.0222777449986,0.00812627,42.01634055016601,-95.98016517402743,49.99468521003692
16,3.542305063134416e-4,HP_Cabeza,0.9996457694936866,9968545.433035173,3531.162895952595,9966779.851587195,618475554.5891749,62.04270811061193,0.00845708,41.35647758829746,-95.81143247653515,50.01932400589166
17,3.841249028762936e-4,HP_Cabeza,0.9996158750971237,9965014.27013922,3827.8101386781073,9963100.365069881,608508774.7375877,61.06451614033527,0.00878197,40.704951156625135,-95.62598252013734,50.017416567754346
18,4.165421621794492e-4,HP_Cabeza,0.9995834578378205,9961186.460000541,4149.254145921279,9959111.83292758,598545674.3725178,60.087789419061366,0.0090946,40.0611580296064,-95.41989573835629,49.990146002905554
19,4.516951949064551e-4,HP_Cabeza,0.9995483048050935,9957037.20585462,4497.545861389328,9954788.432923924,588586562.5395902,59.112620588934654,0.00939622,39.42425314223376,-95.19279886053694,49.93973475076302
20,9.104738868681976e-4,Graduación,0.9990895261131318,9952539.65999323,9061.527468443925,9948008.896259008,578631774.1066663,58.13910759206761,0.00954636,38.79346316671007,-90.46260682743792,49.868309880512726
21,0.0010228133852227838,Graduación,0.9989771866147772,9943478.132524787,10170.322529616402,9938392.971259978,568683765.2104073,57.19163431860544,0.00984314,38.16254978548018,-89.60887089665714,49.86324194817116
22,0.0010807023742855169,Graduación,0.9989192976257145,9933307.80999517,10734.949334770648,9927940.335327785,558745372.2391473,56.24967864953527,0.0101216,37.53695283743242,-89.32281087688195,49.85147807054341
