Edad,exposicion,muertes,qx_crudo,qx_graduado,muertes_esperadas,residuo,residuo_std
20,68730.93839835729,59,8.584198233704042e-4,9.104738868681976e-4,62.57772463165101,-3.5777246316510087,-0.452269214787611
21,64353.01505817933,74,0.0011499072721472205,0.0010228133852227838,65.82112518094918,8.178874819050819,1.0081169345070833
22,59444.03627652293,60,0.001009352724988102,0.0010807023742855169,64.24131114115272,-4.241311141152721,-0.5291672222879877
23,55509.53798767967,66,0.0011889848554431975,0.0011323023005909505,62.85357756819045,3.1464224318095475,0.39687343351020715
24,52046.8945927447,58,0.0011143796465444677,0.0011663286150471923,60.70378248786313,-2.70378248786313,-0.347027486198019
25,49007.13278576318,59,0.001203906383544638,0.001220042926070998,59.79080568229245,-0.7908056822924507,-0.10227101789324224
26,46776.29089664613,63,0.0013468361597801914,0.0012915692609339045,60.414819462610566,2.5851805373894337,0.3325976196016544
27,44974.59069130733,59,0.0013118518499692206,0.0013653654220923345,61.40675100266681,-2.406751002666809,-0.3071306094671693
28,43442.666666666664,61,0.0014041495304155669,0.0014650842755858965,63.6471678228529,-2.6471678228529,-0.33181188185813404
29,41858.090349075974,73,0.0017439878262772083,0.0015784219891173431,66.06973022944196,6.930269770558041,0.8526069602796307
30,40130.33607118412,65,0.0016197222939947846,0.0016423057051623232,65.90627987978706,-0.9062798797870641,-0.11163463049445359
31,38345.20260095825,65,0.0016951273064436919,0.0016910110259833837,64.84216039178712,0.1578396082128819,0.019601407442908506
32,37034.97467488022,59,0.0015930887091983902,0.001750798381645621,64.84077372506685,-5.840773725066853,-0.7253477821838955
33,36279.80150581793,75,0.00206726599614865,0.0018546932780866697,67.28790398315915,7.712096016840846,0.9401646717898678
34,35940.553045859,68,0.0018920131783513228,0.0019400123992024073,69.7251185431583,-1.7251185431583025,-0.20659714362139897
35,36057.39082819987,66,0.0018304153041595714,0.002052490477377136,74.00745131394592,-8.007451313945921,-0.9308004460363694
36,36392.184120465434,92,0.002528015347896173,0.0022193527388275265,80.76709349967058,11.23290650032942,1.2498989887029581
37,37045.1054072553,88,0.0023754825106467414,0.002328099037331615,86.24467423647927,1.7553257635207302,0.1890129603338016
38,37987.31279945243,80,0.0021059662846473616,0.0024162599003290245,91.7872206385724,-11.787220638572407,-1.2303262871029523
39,39028.15331964408,110,0.002818478217482906,0.0025591772364209142,99.87996155517847,10.120038444821532,1.01261178870025
40,40318.27857631759,112,0.002777896377396114,0.002636153178680041,106.28515822786702,5.714841772132985,0.5543293819964293
41,42103.580424366875,105,0.0024938496665056226,0.0026646054332527566,112.18942915816238,-7.189429158162383,-0.678763436172852
42,44269.82614647502,117,0.002642883656531281,0.0027533218718977055,121.88908059419857,-4.889080594198575,-0.4428379135160929
43,47049.900068446266,144,0.003060580358098842,0.0029044808884852173,136.6555355539415,7.34446444605851,0.6282702834849646
44,50054.675564681726,153,0.003056657510491505,0.003039280428909926,152.13019581917305,0.8698041808269465,0.07052023951783705
45,53250.62217659137,163,0.0030609970989532165,0.003181782489386723,169.43189719042675,-6.431897190426753,-0.49413032434464393
46,56562.736481861735,192,0.0033944609462374514,0.0033756061744841257,190.93352251389098,1.0664774861090223,0.07718103519210293
47,59721.71252566735,217,0.003633519382196838,0.0035632084601340723,212.80091132515292,4.199088674847076,0.28785137230675
48,62736.69404517454,237,0.0037776934791837204,0.0036917994957886735,231.61129544342364,5.388704556576357,0.3540825347893034
49,65808.00684462697,236,0.003586189755863556,0.003769803922535971,248.0832823371488,-12.083282337148802,-0.7671603941912679
50,68710.89459274469,284,0.004133260113746038,0.0038936058060281054,267.5331381236959,16.466861876304108,1.0067509562040526
51,73926.29363449692,279,0.003774029324118687,0.003971818566897537,293.62182563941406,-14.621825639414055,-0.853311175495016
52,80004.25256673511,341,0.004262273429972447,0.004157979389624843,332.65603325482505,8.343966745174953,0.4574828966799996
53,85347.0848733744,360,0.004218070254351577,0.004383689591173151,374.13512759638286,-14.135127596382858,-0.7307780431644681
54,90020.79945242984,441,0.004898867847013955,0.004706623996375135,423.6940548756799,17.30594512432009,0.8407543774545662
55,93986.52156057495,463,0.004926238276640479,0.004951256793507422,465.35140337492857,-2.351403374928566,-0.10900254128879165
56,96857.41204654347,507,0.005234498726399672,0.005185490008553989,502.25314242174795,4.7468575782520475,0.21180922457318044
57,97776.83299110198,519,0.005308005834543964,0.005454218735958904,533.2962344427932,-14.296234442793207,-0.6190666419380305
58,97780.30732375085,587,0.006003253784593266,0.005893015104790713,576.2208280099418,10.779171990058217,0.4490460964143715
59,96780.51950718685,603,0.006230592717114126,0.006425691906885993,621.8818009415526,-18.88180094155257,-0.7571631878361377
60,95548.24640657085,705,0.007378471364091065,0.007140304582843047,682.2435816994546,22.75641830054542,0.8712327229515108
61,93356.21765913758,745,0.007980186201631965,0.007804310001134682,728.5808631453136,16.41913685468637,0.6082910727142095
62,90559.93429158111,763,0.008425359470152929,0.008491880494025094,769.0241395508718,-6.024139550871837,-0.217232618730988
63,87181.36755646818,797,0.009141861642440694,0.009608205440272828,837.6564900464826,-40.656490046482645,-1.4047430871922115
64,80862.66324435319,899,0.01111761552155876,0.011681051677747991,944.5609481576225,-45.56094815762253,-1.482442169477319
65,72999.52703627653,1175,0.01609599469618609,0.014764538163195558,1077.8043028223308,97.19569717766922,2.9605819208866104
66,65164.67282683094,1180,0.018107970911413005,0.01767071915077196,1151.5066320748706,28.493367925129405,0.8396737263905474
67,57560.68514715948,1137,0.019753065779066895,0.020065400395223844,1154.9781945011691,-17.978194501169128,-0.5290042755439821
68,50201.996577686514,1109,0.022090754862385726,0.022189225789706366,1113.9434371563523,-4.9434371563522745,-0.14811445604698353
69,43485.5106091718,1025,0.023571069665301595,0.024195688432061636,1052.1618660086317,-27.161866008631705,-0.837371785770688
70,38341.70636550308,1028,0.02681153494318436,0.02625229358110463,1006.557731907695,21.44226809230497,0.6758516479222112
71,33773.52156057495,957,0.028335807336038677,0.028111225764358025,949.4150894467357,7.584910553264308,0.24616278612568165
72,29824.143737166323,882,0.02957335532489629,0.029829242988053582,889.6316304465707,-7.631630446570739,-0.2558657904741112
73,25942.25325119781,813,0.0313388352248262,0.031621992435503204,820.3457360692855,-7.345736069285522,-0.25647016879810614
74,22618.462012320328,785,0.03470616169978351,0.03363295689202149,760.7257578241952,24.27424217580483,0.8800991867314427
75,19802.09787816564,668,0.03373379952517838,0.03591524884186035,711.1972728851938,-43.1972728851938,-1.6197996046617722
76,17329.520876112252,679,0.039181694915522015,0.03895056611381727,674.9946486057868,4.005351394213221,0.1541666581603864
77,15073.737166324436,656,0.04351940018335601,0.04258825333365793,641.9641371244,14.035862875599946,0.5539667942092901
78,13110.466119096509,617,0.04706163719848885,0.04667685963946685,611.9553868490534,5.044613150946589,0.20392383348967555
79,11259.01505817933,581,0.05160309289913608,0.05123756979528721,576.8845698696531,4.115430130346908,0.17134473785603072
80,9545.777549623546,540,0.056569514342107816,0.05637647611502221,538.157300025667,1.8426999743329588,0.0794328256484509
81,7999.7707049965775,475,0.05937670184763167,0.06230225688879037,498.4037695141164,-23.40376951411639,-1.0483230942225121
82,6546.244353182751,462,0.07057481741807849,0.06932576652707782,453.82340765794896,8.176592342051038,0.38382114753977775
83,5209.4558521560575,401,0.07697540998145451,0.07741552689194076,403.29276961496544,-2.2927696149654366,-0.11416952643482127
84,4056.340177960301,363,0.08948953590537659,0.08662243932431904,351.37008094416365,11.629919055836353,0.6204321619974936
