Edad,qx_ref,px_ref,lx_ref,dx_ref,Lx_ref,Tx_ref,ex_ref
0,5.3235405947019e-4,0.9994676459405298,10000000,5323.5405947019,9997338.22970265,807903822.2360178,80.79038222360178
1,4.5010374849185013e-4,0.9995498962515081,9994676.4594053,4498.641339341578,9992427.138735628,797906484.0063152,79.83314790099689
2,3.7969077472631594e-4,0.9996203092252737,9990177.818065956,3793.1783553951195,9988281.228888258,787914056.8675796,78.86887212785523
3,3.211151381735875e-4,0.9996788848618264,9986384.639710562,3206.779283435249,9984781.250068843,777925775.6386913,77.89863936797433
4,2.743768388336648e-4,0.9997256231611663,9983177.860427126,2739.1527828582243,9981808.284035698,767940994.3886225,76.9235012262685
5,2.3947587670654778e-4,0.9997605241232934,9980438.707644269,2390.074309429076,9979243.670489553,757959186.1045868,75.94447581989024
6,2.1641225179223653e-4,0.9997835877482077,9978048.633334838,2159.3719732324407,9976968.947348222,747979942.4340973,74.96254727955855
7,2.0518596409073108e-4,0.9997948140359093,9975889.261361606,2046.9124557548523,9974865.80513373,738002973.486749,73.97866537524287
8,2.057970136020312e-4,0.999794202986398,9973842.348905852,2052.5869695422925,9972816.05542108,728028107.6816154,72.99374526021873
9,2.182454003261371e-4,0.9997817545996739,9971789.761936309,2176.2972485618648,9970701.613312028,718055291.6261942,72.00866732741497
10,2.425311242630488e-4,0.9997574688757369,9969613.464687748,2417.941562058749,9968404.493906718,708084590.0128822,71.0242771719194
11,2.6257432426530564e-4,0.9997374256757346,9967195.523125688,2617.129629304907,9965886.958311036,698116185.5189755,70.04138565348902
12,2.842739296775946e-4,0.9997157260703224,9964578.393496383,2832.6698574996694,9963162.058567634,688150298.5606644,69.05965023164471
13,3.0776682876536586e-4,0.9996922331712347,9961745.723638885,3065.8948903312844,9960212.77619372,678187136.5020968,68.07914549482845
14,3.3320122248183616e-4,0.9996667987775182,9958679.828748554,3318.244293244221,9957020.706601933,668226923.725903,67.09995051722383
15,3.60737559368464e-4,0.9996392624406315,9955361.58445531,3591.272840606973,9953565.948035005,658269903.0193012,66.12214909874791
16,3.9054954771725064e-4,0.9996094504522828,9951770.311614702,3886.659394187084,9949826.981917609,648316337.0712662,65.14583001525033
17,4.2282525137991834e-4,0.9995771747486201,9947883.652220516,4206.216405948319,9945780.544017542,638366510.0893486,64.17108727913758
18,4.577682761366936e-4,0.9995422317238634,9943677.435814567,4551.900078252172,9941401.4857754409,628420729.545331,63.1980204106301
19,4.955990541086983e-4,0.9995044009458913,9939125.535736315,4925.821214178527,9936662.625129227,618479328.0595555,62.22673471985049
20,4.755126916194201e-4,0.9995244873083806,9934199.714522136,4723.838045337296,9931837.795499468,608542665.4344263,61.257341599931685
21,5.808840196655664e-4,0.9994191159803344,9929475.8764768,5767.873860300117,9926591.939546648,598610827.6389269,60.28624623149066
22,5.333226255378956e-4,0.9994666773744622,9923708.002616499,5292.538007026857,9921061.733612984,588684235.6993802,59.32099529169609
23,6.026975901256298e-4,0.9993973024098743,9918415.464609472,5977.805098384908,9915426.56206028,578763173.9657673,58.352382598902906
24,6.751660777336281e-4,0.9993248339222663,9912437.659511087,6692.541655351205,9909091.388683412,568847747.4037069,57.387271117704486
25,6.536627729963565e-4,0.9993463372270036,9905745.117855737,6475.016822332702,9902507.60944457,558938656.0150236,56.42570542295713
26,7.238759247079974e-4,0.999276124075292,9899270.101033403,7165.8432983197845,9895687.179384243,549036148.405579,55.46228588593255
27,6.237530310489201e-4,0.9993762469689511,9892104.257735083,6170.230014214186,9889019.142727977,539140461.2261947,54.50210058235248
28,6.895571842795722e-4,0.9993104428157205,9885934.02772087,6816.916832128813,9882525.569304805,529251442.08346677,53.53580557986809
29,7.919362826731593e-4,0.9992080637173268,9879117.110888742,7823.631280890032,9875205.295248296,519368916.51416194,52.57240203597897
30,7.373805658677916e-4,0.9992626194341322,9871293.47960785,7278.899971840278,9867654.029621929,509493711.2189136,51.6136727442485
31,8.511270228769465e-4,0.9991488729771231,9864014.57963601,8395.529362780391,9859816.81495462,499626057.1892917,50.65139078573101
32,0.0010279314702849672,0.998972068529715,9855619.05027323,10130.900980915892,9850553.599782772,489766240.3743371,49.69411235114238
33,9.41645337799739e-4,0.9990583546622003,9845488.149292314,9270.958014143689,9840852.670285244,479915686.7745543,48.7447325614881
34,0.001141834899591706,0.9988581651004083,9836217.19127817,11231.336068965324,9830601.523243688,470074834.1042691,47.79020480770667
35,0.0010227711362063615,0.9989772288637936,9824985.855209203,10048.711946343748,9819961.499236032,460244232.58102536,46.84426414079813
36,0.0011892744365630992,0.9988107255634369,9814937.14326286,11672.65384095617,9809100.816342382,450424271.0817894,45.89171224504156
37,0.001234567863382879,0.9987654321366172,9803264.489421904,12102.795294882852,9797213.091774464,440615170.26544696,44.945759725333076
38,0.001165468096401306,0.9988345319035987,9791161.694127021,11411.286581211605,9785456.050836416,430817957.1736725,44.0006988580413
39,0.0013168524014038159,0.9986831475985962,9779750.40754581,12878.487809306647,9773311.163641158,421032501.1228361,43.05145669136689
40,0.0014827726570440924,0.9985172273429559,9766871.919736505,14482.050627437033,9759630.894422784,411259189.95919496,42.10756456508238
41,0.0013615148789662406,0.9986384851210338,9752389.869109066,13278.023912271621,9745750.857152931,401499559.0647721,41.16935073899494
