"Edad","m","n","Valor_obt","Valor_ref","Diferencia","Dif_pct"
32,33,5,0.7620898603472,0.384380792360156,0.377709067987045,98.2642929860919
50,15,5,1.92572496570688,1.24174781413085,0.683977151576033,55.0818083827091
68,0,2,1.93124835639075,1.91163488571429,0.0196134706764688,1.0260050610627
