"Grupo_edad","Registros","Exposicion","Muertes","Tasa_qx"
"0",249,134.179329226557,5,0.0372635638352139
"1-4",2808,9401.07871321013,8,0.000850966175696266
"5-9",8075,62958.8364134155,5,7.94169696397785e-05
"10-14",8456,98066.6913073238,2,2.03942844745557e-05
