"Edad","n","Valor_obt","Valor_ref","Diferencia","Dif_pct"
38,32,0.166645999655449,0.0837368976497724,0.0829091020056764,99.0114326332482
54,16,0.383587519439352,0.252218150795749,0.131369368643603,52.0856124863067
62,8,0.594426011594449,0.486552581543308,0.107873430051141,22.1709706500733
