"Edad","m","Valor_obt","Valor_ref","Diferencia","Dif_pct"
25,50,0.506017308743593,0.176302356552118,0.329714952191474,187.016758391431
40,35,1.08119725167948,0.441790144765041,0.639407106914441,144.730957557802
70,5,5.85555335760873,4.65052277590757,1.20503058170115,25.9117230420614
