"edad","qx","px","lx","dx","metodo"
0,0.00182915789004023,0.99817084210996,1e+05,182.915789004023,"Opperman"
1,0.0011070522912412,0.998892947708759,99817.084210996,110.502731780799,"Opperman"
2,0.000911230377811486,0.999088769622189,99706.5814792152,90.855665911597,"Opperman"
3,0.000866988907242877,0.999133011092757,99615.7258133036,86.3657292670821,"Opperman"
4,0.000885947037843857,0.999114052962156,99529.3600840365,88.1777417449468,"Opperman"
5,0.000936116375180293,0.99906388362482,99441.1823422915,93.0885191579085,"Opperman"
6,0.0010031791327193,0.998996820867281,99348.0938231336,99.6639345988064,"Opperman"
7,0.00107984316582248,0.998920156834178,99248.4298885348,107.172738733746,"Opperman"
8,0.00116205889205035,0.99883794110795,99141.2571498011,115.207979439977,"Opperman"
9,0.00124743570035868,0.998752564299641,99026.0491703611,123.528629000582,"Opperman"
10,0.00133449834353189,0.998665501656468,98902.5205413605,131.985249833575,"Heligman-Pollard"
11,0.0012709034038265,0.998729096596173,98770.5352915269,125.527809499768,"Heligman-Pollard"
12,0.00121622396659051,0.99878377603341,98645.0074820272,119.974422284142,"Heligman-Pollard"
13,0.00116894125148692,0.998831058748513,98525.033059743,115.169975447646,"Heligman-Pollard"
14,0.00112803284361656,0.998871967156383,98409.8630842954,111.009557694895,"Heligman-Pollard"
15,0.00109291441565644,0.998907085584344,98298.8535266005,107.432234061722,"Heligman-Pollard"
16,0.00106343191107584,0.998936568088924,98191.4212925388,104.419890796378,"Heligman-Pollard"
17,0.00103986689636406,0.998960133103636,98087.0014017424,101.997425721287,"Heligman-Pollard"
18,0.00102292075345697,0.998977079246543,97985.0039760211,100.230894094635,"Heligman-Pollard"
19,0.00101365247076756,0.998986347529232,97884.7730819265,99.2211420850165,"Heligman-Pollard"
20,0.00101336007944826,0.998986639920552,97785.5519398415,99.0919746826495,"Whittaker-Henderson"
21,0.00102341328658299,0.998976586713417,97686.4599651588,99.9736210476009,"Whittaker-Henderson"
22,0.00104505942489428,0.998954940575106,97586.4863441112,101.98367729623,"Whittaker-Henderson"
23,0.00107923266800435,0.998920767331996,97484.502666815,105.208459902184,"Whittaker-Henderson"
24,0.00112639633497266,0.998873603665027,97379.2942069128,109.687680096891,"Whittaker-Henderson"
25,0.00118644127484361,0.998813558725156,97269.6065268159,115.404675971212,"Whittaker-Henderson"
26,0.00125865253243479,0.998741347467565,97154.2018508447,122.283382196247,"Whittaker-Henderson"
27,0.00134174484797872,0.998658255152021,97031.9184686485,130.1920766948,"Whittaker-Henderson"
28,0.00143395757934092,0.998566042420659,96901.7263919536,138.952965010962,"Whittaker-Henderson"
29,0.00153319288918761,0.998466807110812,96762.7734269427,148.355996156261,"Whittaker-Henderson"
30,0.0016371779859992,0.998362822014001,96614.4174307864,158.174997347821,"Whittaker-Henderson"
31,0.00174363248882323,0.998256367511177,96456.2424334386,168.184238056754,"Whittaker-Henderson"
32,0.00185042474440341,0.998149575255597,96288.0581953819,178.17380547529,"Whittaker-Henderson"
33,0.00195570513114459,0.998044294868855,96109.8843899066,187.962594055053,"Whittaker-Henderson"
34,0.00205800907686545,0.997941990923135,95921.9217958515,197.40818572624,"Whittaker-Henderson"
35,0.0021563269488676,0.997843673051132,95724.5136101253,206.413348364757,"Whittaker-Henderson"
36,0.00225014166220923,0.997749858337791,95518.1002617605,214.929256894066,"Whittaker-Henderson"
37,0.00233943756234262,0.997660562437657,95303.1710048664,222.955818059146,"Whittaker-Henderson"
38,0.00242468583832934,0.997575314161671,95080.2151868073,230.539651268758,"Whittaker-Henderson"
39,0.00250681251551255,0.997493187484487,94849.6755355385,237.770353724792,"Whittaker-Henderson"
40,0.00258715513984684,0.997412844860153,94611.9051818137,244.775676781832,"Whittaker-Henderson"
41,0.00266741380435851,0.997332586195641,94367.1295050319,251.716183919409,"Whittaker-Henderson"
42,0.00274960137771534,0.997250398622285,94115.4133211125,258.779870131979,"Whittaker-Henderson"
43,0.00283599684355612,0.997164003156444,93856.6334509805,266.177116213785,"Whittaker-Henderson"
44,0.00292910467754297,0.997070895322457,93590.4563347667,274.136243423547,"Whittaker-Henderson"
45,0.00303162226895456,0.996968377731045,93316.3200913432,282.899834045808,"Whittaker-Henderson"
46,0.00314641659215984,0.99685358340784,93033.4202572974,292.721897122939,"Whittaker-Henderson"
47,0.00327651067913442,0.996723489320866,92740.6983601744,303.865888567495,"Whittaker-Henderson"
48,0.00342507994447161,0.996574920055528,92436.8324716069,316.603541028983,"Whittaker-Henderson"
49,0.00359545806144619,0.996404541938554,92120.228930578,331.214419730715,"Whittaker-Henderson"
50,0.00379115186482648,0.996208848135174,91789.0145108472,347.986093533383,"Whittaker-Henderson"
51,0.0040158646418637,0.995984135358136,91441.0284173138,367.214792836744,"Whittaker-Henderson"
52,0.00427352714440886,0.995726472855591,91073.8136244771,389.206414669036,"Whittaker-Henderson"
53,0.00456833569044435,0.995431664309556,90684.6072098081,414.277727690493,"Whittaker-Henderson"
54,0.00490479680266134,0.995095203197339,90270.3294821176,442.757623419076,"Whittaker-Henderson"
55,0.00528777793806846,0.994712222061932,89827.5718586985,474.988252704685,"Whittaker-Henderson"
56,0.00572256398196047,0.99427743601804,89352.5836059938,511.325876638772,"Whittaker-Henderson"
57,0.00621491930069251,0.993785080699307,88841.2577293551,552.141247359966,"Whittaker-Henderson"
58,0.00677115526181813,0.993228844738182,88289.1164819951,597.819315628335,"Whittaker-Henderson"
59,0.00739820323043919,0.992601796769561,87691.2971663668,648.758037977618,"Whittaker-Henderson"
60,0.0081036931317075,0.991896306868292,87042.5391283891,705.366026501109,"Whittaker-Henderson"
61,0.00889603772686488,0.991103962273135,86337.173101888,768.05874914526,"Whittaker-Henderson"
62,0.00978452278000608,0.990215477219994,85569.1143527428,837.252948649356,"Whittaker-Henderson"
63,0.0107794032909007,0.989220596709099,84731.8614040934,913.358905663428,"Whittaker-Henderson"
64,0.0118920059313318,0.988107994068668,83818.50249843,996.77012886668,"Whittaker-Henderson"
65,0.0131348377433981,0.986865162256602,82821.7323695633,1087.85001630135,"Whittaker-Henderson"
66,0.0145217010319852,0.985478298968015,81733.8823532619,1186.91500371752,"Whittaker-Henderson"
67,0.0160678142028216,0.983932185797178,80546.9673495444,1294.21370597322,"Whittaker-Henderson"
68,0.0177899380535209,0.982210061946479,79252.7536435712,1409.90157789008,"Whittaker-Henderson"
69,0.0197065067076772,0.980293493292323,77842.8520656811,1534.01068637707,"Whittaker-Henderson"
70,0.0218377619799736,0.978162238020026,76308.8413793041,1666.4143150088,"Whittaker-Henderson"
71,0.0242058894607781,0.975794110539222,74642.4270642953,1806.78633860252,"Whittaker-Henderson"
72,0.0268351539985453,0.973164846001455,72835.6407256927,1954.55563545668,"Whittaker-Henderson"
73,0.0297520315241997,0.9702479684758,70881.0850902361,2108.85627807418,"Whittaker-Henderson"
74,0.0329853332913608,0.967014666708639,68772.2288121619,2268.47488855889,"Whittaker-Henderson"
75,0.0365663175902481,0.963433682409752,66503.753923603,2431.79738691417,"Whittaker-Henderson"
76,0.04052878282671,0.95947121717329,64071.9565366888,2596.75841175786,"Whittaker-Henderson"
77,0.0449091345441457,0.955090865455854,61475.1981249309,2760.79794372054,"Whittaker-Henderson"
78,0.0497464175196834,0.950253582480317,58714.4001812104,2920.83106583227,"Whittaker-Henderson"
79,0.0550823025175333,0.944917697482467,55793.5691153781,3073.23825254616,"Whittaker-Henderson"
80,0.060961015684177,0.939038984315823,52720.330862832,3213.8849166041,"Whittaker-Henderson"
81,0.0674291970020349,0.932570802997965,49506.4459462279,3338.17989657879,"Whittaker-Henderson"
82,0.0745356727947688,0.925464327205231,46168.2660496491,3441.18277177848,"Whittaker-Henderson"
83,0.0823311261531662,0.917668873846834,42727.0832778706,3517.76888350721,"Whittaker-Henderson"
84,0.0908676485254598,0.90913235147454,39209.3143943634,3562.85819931126,"Whittaker-Henderson"
85,0.100198155836555,0.899801844163445,35646.4561950521,3571.70917285277,"Heligman-Pollard"
86,0.110375653656857,0.889624346343143,32074.7470221994,3540.27116845358,"Heligman-Pollard"
87,0.121452338455226,0.878547661544774,28534.4758537458,3465.57881903161,"Heligman-Pollard"
88,0.133478526174637,0.866521473825363,25068.8970347142,3346.15942901738,"Heligman-Pollard"
89,0.1465014055717,0.8534985944283,21722.7376056968,3182.41159209981,"Heligman-Pollard"
90,0.160563622197083,0.839436377802917,18540.326013597,2976.90190145795,"Heligman-Pollard"
91,0.175701709659847,0.824298290340153,15563.424112139,2734.52022466411,"Heligman-Pollard"
92,0.191944397798378,0.808055602201622,12828.9038874749,2462.43623109464,"Heligman-Pollard"
93,0.20931084216527,0.79068915783473,10366.4676563803,2169.81407543599,"Heligman-Pollard"
94,0.227808835052533,0.772191164947467,8196.6535809443,1867.2701036041,"Heligman-Pollard"
95,0.247433073962604,0.752566926037396,6329.3834773402,1566.0988100864,"Heligman-Pollard"
96,0.268163577399299,0.731836422600701,4763.2846672538,1277.33945654201,"Heligman-Pollard"
97,0.289964348223687,0.710035651776313,3485.94521071179,1010.79983096753,"Heligman-Pollard"
98,0.312782389554773,0.687217610445227,2475.14537974426,774.181886371867,"Heligman-Pollard"
99,0.336547175361163,0.663452824638837,1700.9634933724,572.454459086936,"Heligman-Pollard"
100,0.361170665987837,0.638829334012163,1128.50903428546,407.584359486171,"Heligman-Pollard"
101,0.386547937180384,0.613452062819616,720.92467479929,278.671945906105,"Heligman-Pollard"
102,0.412558460102042,0.587441539897958,442.252728893185,182.455104808098,"Heligman-Pollard"
103,0.439068031084917,0.560931968915083,259.797624085087,114.068831287578,"Heligman-Pollard"
104,0.465931306421698,0.534068693578302,145.728792797508,67.8996068114001,"Heligman-Pollard"
105,0.492994853462911,0.507005146537089,77.8291859861084,38.3693881403591,"Heligman-Pollard"
106,0.520100589300661,0.479899410699339,39.4597978457493,20.5230641132591,"Heligman-Pollard"
107,0.547089446984921,0.452910553015079,18.9367337324901,10.3600871854087,"Heligman-Pollard"
108,0.573805090329931,0.426194909670069,8.5766465470814,4.92132344667593,"Heligman-Pollard"
109,0.600097494290049,0.399902505709951,3.65532310040547,2.19355023337386,"Heligman-Pollard"
