"edad","Exposicion","Muertes","TasaBruta","qx_WH","Dx_esperadas","residuo","residuo_std"
20,68730.9383983573,59,0.000858419823370404,0.000910473886868198,62.577724631651,-3.57772463165102,-0.452269214787613
21,64353.0150581793,74,0.00114990727214722,0.00102281338522279,65.8211251809493,8.17887481905073,1.00811693450707
22,59444.0362765229,60,0.0010093527249881,0.00108070237428552,64.2413111411528,-4.24131114115276,-0.529167222287993
23,55509.5379876797,66,0.0011889848554432,0.00113230230059095,62.8535775681905,3.14642243180951,0.396873433510203
24,52046.8945927447,58,0.00111437964654447,0.00116632861504719,60.7037824878631,-2.70378248786313,-0.347027486198019
25,49007.1327857632,59,0.00120390638354464,0.001220042926071,59.7908056822925,-0.790805682292472,-0.102271017893245
26,46776.2908966461,63,0.00134683615978019,0.0012915692609339,60.4148194626105,2.58518053738953,0.332597619601667
27,44974.5906913073,59,0.00131185184996922,0.00136536542209233,61.4067510026668,-2.40675100266677,-0.307130609467164
28,43442.6666666667,61,0.00140414953041557,0.00146508427558589,63.6471678228528,-2.64716782285279,-0.33181188185812
29,41858.090349076,73,0.00174398782627721,0.00157842198911734,66.0697302294418,6.93026977055823,0.852606960279655
30,40130.3360711841,65,0.00161972229399478,0.00164230570516232,65.9062798797867,-0.906279879786723,-0.111634630494412
31,38345.2026009582,65,0.00169512730644369,0.00169101102598337,64.8421603917867,0.157839608213308,0.0196014074429615
32,37034.9746748802,59,0.00159308870919839,0.00175079838164561,64.8407737250665,-5.84077372506653,-0.725347782183857
33,36279.8015058179,75,0.00206726599614865,0.00185469327808666,67.2879039831587,7.71209601684126,0.940164671789921
34,35940.553045859,68,0.00189201317835132,0.00194001239920239,69.7251185431577,-1.72511854315775,-0.206597143621333
35,36057.3908281999,66,0.00183041530415957,0.00205249047737711,74.0074513139452,-8.0074513139452,-0.93080044603629
36,36392.1841204654,92,0.00252801534789617,0.00221935273882751,80.7670934996698,11.2329065003302,1.24989898870305
37,37045.1054072553,88,0.00237548251064674,0.0023280990373316,86.2446742364787,1.75532576352134,0.189012960333868
38,37987.3127994524,80,0.00210596628464736,0.00241625990032902,91.7872206385721,-11.7872206385721,-1.23032628710292
39,39028.1533196441,110,0.00281847821748291,0.00255917723642091,99.8799615551785,10.1200384448215,1.01261178870024
40,40318.2785763176,112,0.00277789637739611,0.00263615317868004,106.285158227867,5.71484177213289,0.554329381996419
41,42103.5804243669,105,0.00249384966650562,0.00266460543325276,112.189429158163,-7.18942915816272,-0.678763436172883
42,44269.826146475,117,0.00264288365653128,0.00275332187189772,121.889080594199,-4.88908059419896,-0.442837913516127
43,47049.9000684463,144,0.00306058035809884,0.00290448088848522,136.655535553942,7.34446444605814,0.628270283484932
44,50054.6755646817,153,0.0030566575104915,0.00303928042890993,152.130195819173,0.869804180827032,0.070520239517844
45,53250.6221765914,163,0.00306099709895322,0.00318178248938672,169.431897190427,-6.43189719042667,-0.494130324344637
46,56562.7364818617,192,0.00339446094623745,0.00337560617448413,190.933522513891,1.06647748610914,0.0771810351921112
47,59721.7125256674,217,0.00363351938219684,0.00356320846013408,212.800911325153,4.19908867484676,0.287851372306728
48,62736.6940451745,237,0.00377769347918372,0.00369179949578868,231.611295443424,5.38870455657627,0.354082534789298
49,65808.006844627,236,0.00358618975586356,0.00376980392253598,248.083282337149,-12.0832823371493,-0.767160394191301
50,68710.8945927447,284,0.00413326011374604,0.00389360580602812,267.533138123697,16.4668618763034,1.00675095620401
51,73926.2936344969,279,0.00377402932411869,0.00397181856689755,293.621825639415,-14.6218256394151,-0.853311175495074
52,80004.2525667351,341,0.00426227342997245,0.00415797938962485,332.656033254826,8.34396674517421,0.457482896679959
53,85347.0848733744,360,0.00421807025435158,0.00438368959117316,374.135127596383,-14.1351275963833,-0.730778043164488
54,90020.7994524298,441,0.00489886784701395,0.00470662399637513,423.694054875679,17.3059451243207,0.840754377454594
55,93986.521560575,463,0.00492623827664048,0.00495125679350742,465.351403374929,-2.35140337492879,-0.109002541288802
56,96857.4120465435,507,0.00523449872639967,0.00518549000855399,502.253142421749,4.74685757825148,0.211809224573155
57,97776.832991102,519,0.00530800583454396,0.00545421873595889,533.296234442792,-14.2962344427922,-0.619066641937987
58,97780.3073237509,587,0.00600325378459327,0.0058930151047907,576.220828009941,10.7791719900595,0.449046096414424
59,96780.5195071869,603,0.00623059271711413,0.00642569190688599,621.881800941552,-18.8818009415522,-0.757163187836124
60,95548.2464065708,705,0.00737847136409106,0.00714030458284304,682.243581699454,22.7564183005464,0.871232722951551
61,93356.2176591376,745,0.00798018620163196,0.00780431000113468,728.580863145314,16.4191368546861,0.608291072714201
62,90559.9342915811,763,0.00842535947015293,0.00849188049402511,769.024139550873,-6.02413955087309,-0.217232618731033
63,87181.3675564682,797,0.00914186164244069,0.00960820544027284,837.656490046484,-40.6564900464837,-1.40474308719225
64,80862.6632443532,899,0.0111176155215588,0.011681051677748,944.560948157623,-45.5609481576228,-1.48244216947733
65,72999.5270362765,1175,0.0160959946961861,0.0147645381631955,1077.80430282233,97.1956971776706,2.96058192088665
66,65164.6728268309,1180,0.018107970911413,0.017670719150772,1151.50663207487,28.493367925129,0.839673726390534
67,57560.6851471595,1137,0.0197530657790669,0.0200654003952238,1154.97819450117,-17.9781945011696,-0.529004275543995
68,50201.9965776865,1109,0.0220907548623857,0.0221892257897064,1113.94343715635,-4.94343715635159,-0.148114456046963
69,43485.5106091718,1025,0.0235710696653016,0.0241956884320616,1052.16186600863,-27.1618660086317,-0.837371785770688
70,38341.7063655031,1028,0.0268115349431844,0.0262522935811046,1006.5577319077,21.4422680923044,0.675851647922193
71,33773.5215605749,957,0.0283358073360387,0.028111225764358,949.415089446734,7.58491055326556,0.246162786125722
72,29824.1437371663,882,0.0295733553248963,0.0298292429880535,889.631630446569,-7.63163044656892,-0.255865790474051
73,25942.2532511978,813,0.0313388352248262,0.0316219924355031,820.345736069283,-7.34573606928268,-0.256470168798007
74,22618.4620123203,785,0.0347061616997835,0.0336329568920214,760.725757824192,24.2742421758078,0.880099186731552
